date,window,signal,ratio,moving_average,slope,state
2012-11-15,240,Risk On,0.3594988628445975,0.35055001492676346,9.349805634939479e-05,Risk On
2012-12-17,20,Risk Off,0.3434393042811623,0.3515115846651522,-0.0006196026142054611,Risk Off
2012-12-17,240,Risk Off,0.3434393042811623,0.3523808591205587,4.790799528592293e-05,Risk Off
2012-12-19,60,Risk Off,0.3399608019079553,0.3491283480532142,-9.480258471383785e-05,Risk Off
2013-01-10,120,Risk Off,0.338180292914817,0.34593257762366053,3.086780782451948e-05,Risk Off
2013-04-02,20,Risk On,0.3205489206071787,0.31376856686346793,7.414701909297383e-05,Risk On
2013-04-26,60,Risk On,0.3283645470383275,0.3213422308247981,-0.00015848801956247494,Risk On
2013-06-13,20,Risk Off,0.3250032638496018,0.3317449492373736,-0.000361796954435889,Risk Off
2013-06-24,60,Risk Off,0.3173978355500488,0.3275442775406064,4.980479238547719e-05,Risk Off
2013-08-29,20,Risk On,0.3096088835636955,0.3033966486578889,0.00036764752091783537,Risk On
2013-10-07,20,Risk Off,0.2981960595771106,0.30538392069297815,-0.0004956779765328267,Risk Off
2014-01-15,20,Risk On,0.3003031524012355,0.2937784042509396,0.00032784819508197005,Risk On
2014-01-15,60,Risk On,0.3003031524012355,0.2943954143817143,4.726744148625395e-05,Risk On
2014-02-12,120,Risk On,0.3057786560491484,0.29882715992179987,1.3990411387443391e-05,Risk On
2014-02-26,240,Risk On,0.3152852689395813,0.30908884582944035,5.881418616515699e-06,Risk On
2014-07-15,20,Risk Off,0.3476798006710981,0.3596173875274457,-0.00036439418320260986,Risk Off
2014-07-16,60,Risk Off,0.3462648549097939,0.3543496247271349,2.4954350536676717e-05,Risk Off
2014-07-25,120,Risk Off,0.3314674559387658,0.33990615414149766,0.0002509084849176557,Risk Off
2014-10-13,240,Risk Off,0.3178679326715581,0.32487224740371984,8.500344483131084e-05,Risk Off
2014-11-21,20,Risk On,0.3293818102173794,0.321783000475058,0.0004210566090367407,Risk On
2014-11-25,60,Risk On,0.3305550224366883,0.3236921749789206,-3.128815070652102e-05,Risk On
2014-12-01,240,Risk On,0.3386568386568386,0.3290122152175236,0.0001857758694981393,Risk On
2014-12-02,120,Risk On,0.3404080087092346,0.33333071409703374,-0.000106521075491528,Risk On
2015-02-10,20,Risk Off,0.3417441467138404,0.34900597162051217,5.859591103274386e-06,Risk Off
2015-03-30,60,Risk Off,0.3387096774193548,0.34653977221137416,-1.047014921939926e-05,Risk Off
2015-04-09,240,Risk Off,0.3320237140919141,0.3398594212558897,-3.871755159501333e-05,Risk Off
2015-04-15,120,Risk Off,0.3292854381216829,0.338088901890387,8.711559644009048e-05,Risk Off
2015-05-25,20,Risk On,0.314954211616359,0.3083929329735444,-0.0002554649625619576,Risk On
