date,xlk_adj_close,xlf_adj_close,spy_adj_close,xlk_normalized,xlf_normalized,spy_normalized,us_ratio,ma20,slope20,ma20_slope,state20,bull_turn20,bear_turn20,cross_on20,cross_off20,ma60,slope60,ma60_slope,state60,bull_turn60,bear_turn60,cross_on60,cross_off60,ma120,slope120,ma120_slope,state120,bull_turn120,bear_turn120,cross_on120,cross_off120,ma240,slope240,ma240_slope,state240,bull_turn240,bear_turn240,cross_on240,cross_off240
1999-01-11,13.087823867797852,11.720976829528809,78.44197845458984,109.8976688629526,105.36199044206766,104.84204577644962,1.043048526340994,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-12,12.73362636566162,11.392911911010742,77.02777099609375,106.92349376745582,102.41295527955484,102.95187923524136,1.0440426553026287,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-13,12.72782039642334,11.243781089782717,76.48526763916016,106.8747413934002,101.07239123021216,102.22679347246404,1.057407864725116,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-14,12.553624153137209,10.960454940795898,75.1485366821289,105.41202602870672,98.52552099612632,100.44017856359866,1.0698956469649237,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-15,12.925241470336914,11.273605346679688,77.10523986816406,108.532474262262,101.34048689457728,103.05542067047617,1.070968549570582,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-19,13.372344017028809,11.213959693908691,77.60896301269531,112.2867674221069,100.8043212841022,103.72867453298775,1.113908272896785,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-20,13.49427318572998,11.295968055725098,78.22886657714844,113.31059930905842,101.54150934952877,104.55720995702735,1.1159042251284428,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-21,13.145889282226562,11.094660758972168,76.15595245361328,110.38524065118374,99.73192148113831,101.78664550018956,1.106819551973239,1.0405731740383994,,,Risk On,True,False,True,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-22,12.91362762451172,11.020095825195312,75.9815902709961,108.43495349825912,99.06164374284282,101.5536007926008,1.0946209794352773,1.0453042230101635,0.004731048971764018,0.004731048971764018,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-25,13.140079498291016,11.109570503234863,76.75653076171875,110.33645624534488,99.86594788144158,102.5893516495148,1.1048456314291797,1.0500958771724764,0.004791654162312975,0.004791654162312975,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-26,13.668476104736328,11.117024421691896,78.15135192871094,114.7733707293725,99.93295250884152,104.4536073391442,1.1485037502441249,1.0575924107659993,0.007496533593522869,0.007496533593522869,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-01-27,13.378146171569824,10.97536563873291,77.24085235595703,112.33548776437934,98.6595559691813,103.2366742662314,1.1386174067058443,1.0637855584780331,0.006193147712033831,0.006193147712033831,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
