date,signal,ratio,ma20,slope,state
2021-04-01,Risk On,1.9322684450701442,1.8920616954681002,0.0023507770461612676,Risk On
2021-04-29,Risk Off,1.9034663812583223,1.9712561082698699,-0.0007043529396106862,Risk Off
2021-06-09,Risk On,1.824062994430385,1.7855230198243253,0.0016354344088984618,Risk On
2021-08-06,Risk Off,2.0066467865237194,2.0503073418412425,-0.0006974680639171282,Risk Off
2021-09-01,Risk On,2.0417391728778314,1.9999485550818927,-0.0011323022044260611,Risk On
2021-09-27,Risk Off,1.9602133940935653,2.035998592758539,-0.0013637685892224916,Risk Off
2021-11-03,Risk On,1.975900944680661,1.9368355379017186,0.002989614014814679,Risk On
2022-01-04,Risk Off,2.0885224597323404,2.1604589551083055,-0.0012081937429746503,Risk Off
2022-03-01,Risk On,1.9857229398417986,1.9332811274909578,-0.0018757211876259117,Risk On
2022-03-14,Risk Off,1.8715781488823275,1.9354495234778581,-0.0006284814870587407,Risk Off
2022-03-29,Risk On,2.0154449170215907,1.947597776252162,0.0014860988589895374,Risk On
2022-04-11,Risk Off,1.9178288793614835,1.971389214550527,0.00231253652395802,Risk Off
2022-04-28,Risk On,2.01045200408445,1.9671197279926207,0.00038417236146126577,Risk On
2022-05-23,Risk Off,1.920571784746752,1.966483892933392,-0.0015620520608874422,Risk Off
2022-06-23,Risk On,2.0055634476251254,1.9546770447005692,0.005479678695397894,Risk On
2022-08-26,Risk Off,2.0143567542841203,2.0695538745111186,-0.0031557320574790992,Risk Off
2022-12-01,Risk On,1.8262966245738992,1.7841409892181752,0.003204453761521453,Risk On
2022-12-22,Risk Off,1.7793181909022762,1.8210757062599872,-0.001437236527002339,Risk Off
2023-01-20,Risk On,1.7930769232545245,1.7494167183346723,-0.0007157722694604018,Risk On
2023-04-14,Risk Off,2.1758645117845905,2.2265222460258727,0.0004974593686322137,Risk Off
2023-05-03,Risk On,2.2324756238022347,2.185553407664381,-0.0014493840520861667,Risk On
2023-07-20,Risk Off,2.391446027576962,2.4586324590760293,-0.0029388652283395267,Risk Off
2023-08-23,Risk On,2.417645303105109,2.363346179560338,0.0020900606963296653,Risk On
2023-09-15,Risk Off,2.3283019855152496,2.400057165613148,8.232639742056236e-05,Risk Off
2023-10-04,Risk On,2.4224183032564706,2.363653333053192,-0.0012631097550390713,Risk On
2023-12-04,Risk Off,2.4304955598013227,2.4992669619364936,-0.0002578024638544285,Risk Off
2024-01-18,Risk On,2.503855114590051,2.42504809842936,0.0023061631826446494,Risk On
2024-02-16,Risk Off,2.4418346138037568,2.494790824222214,-0.003960724143595495,Risk Off
2024-04-11,Risk On,2.4516256979787845,2.3912507806819727,0.001447451012188239,Risk On
2024-04-19,Risk Off,2.2729069059892786,2.3833075395059975,-0.005724304157854299,Risk Off
2024-05-15,Risk On,2.4075973883374586,2.3351373526584474,0.0009634156763231871,Risk On
2024-07-16,Risk Off,2.5531745627810465,2.632610173347108,-0.0058362416261799055,Risk Off
2024-08-15,Risk On,2.419669860734867,2.3621162195678895,-0.0022876247585008613,Risk On
2024-08-29,Risk Off,2.2826537437007177,2.356933684493416,-0.002046087993602619,Risk Off
2024-09-24,Risk On,2.3561444441844515,2.2886476863479883,-0.00020010129063008364,Risk On
2024-10-16,Risk Off,2.2938531778768674,2.3525076435552643,0.00039898798450899164,Risk Off
2024-12-04,Risk On,2.277879253491632,2.218433507328131,-0.001418778548422317,Risk On
2025-01-14,Risk Off,2.2353462347569297,2.2995638462019925,-0.002204400071114776,Risk Off
2025-02-20,Risk On,2.2245458566626177,2.165121576859949,-0.002152919982614243,Risk On
2025-02-27,Risk Off,2.061553344440792,2.155092720549381,-0.003923313838436471,Risk Off
2025-04-25,Risk On,2.051981319496122,1.9783918773444367,0.0029846430120432643,Risk On
2025-08-20,Risk Off,2.318989436290109,2.3737263180934285,0.0003067417091333624,Risk Off
