date,electronics_index,finance_index,weighted_index,ratio,ma20,slope20,ma20_slope,state20,bull_turn20,bear_turn20,cross_on20,cross_off20,ma60,slope60,ma60_slope,state60,bull_turn60,bear_turn60,cross_on60,cross_off60,ma120,slope120,ma120_slope,state120,bull_turn120,bear_turn120,cross_on120,cross_off120,ma240,slope240,ma240_slope,state240,bull_turn240,bear_turn240,cross_on240,cross_off240
2014-01-27,309.24,1025.73,8462.57,0.301482846363078,0.2970147773382691,0.0003579994210863857,0.0003579994210863857,Risk On,False,False,False,False,0.2947970659715724,6.712011513620997e-05,6.712011513620997e-05,Risk On,False,False,False,False,0.29868216647275925,1.597975274103547e-05,1.597975274103547e-05,Risk Off,False,False,False,False,0.30993644976276735,-8.870106331193561e-05,-8.870106331193561e-05,Risk Off,False,False,False,False
2014-02-05,301.45,999.19,8264.48,0.3016943724416777,0.29747436096347923,0.00045958362521014706,0.00045958362521014706,Risk On,False,False,False,False,0.29481274290723203,1.5676935659625357e-05,1.5676935659625357e-05,Risk On,False,False,False,False,0.2987000126804215,1.7846207662264302e-05,1.7846207662264302e-05,Risk Off,False,False,False,False,0.3098560933424533,-8.035642031406498e-05,-8.035642031406498e-05,Risk Off,False,False,False,False
2014-02-06,304.27,1002.3,8311.01,0.303571784894742,0.2980089203716343,0.0005345594081550553,0.0005345594081550553,Risk On,False,False,False,False,0.2948744038354802,6.166092824816394e-05,6.166092824816394e-05,Risk On,False,False,False,False,0.2987444266773514,4.4413996929892896e-05,4.4413996929892896e-05,Risk Off,False,False,False,False,0.30978901973651707,-6.70736059362187e-05,-6.70736059362187e-05,Risk Off,False,False,False,False
2014-02-07,307.63,1010.75,8387.35,0.3043581498886965,0.2986564261906922,0.0006475058190579253,0.0006475058190579253,Risk On,False,False,False,False,0.29495769794065224,8.329410517204927e-05,8.329410517204927e-05,Risk On,False,False,False,False,0.29877846770185335,3.4041024501940687e-05,3.4041024501940687e-05,Risk Off,False,False,False,False,0.309726556355361,-6.246338115606376e-05,-6.246338115606376e-05,Risk Off,False,False,False,False
2014-02-10,306.94,1009.58,8391.95,0.3040274173418649,0.2992305839930724,0.0005741578023801819,0.0005741578023801819,Risk On,False,False,False,False,0.29501667004542553,5.897210477329162e-05,5.897210477329162e-05,Risk On,False,False,False,False,0.29881465887963077,3.6191177777422645e-05,3.6191177777422645e-05,Risk Off,False,False,False,False,0.30965476814611115,-7.178820924985674e-05,-7.178820924985674e-05,Risk Off,False,False,False,False
2014-02-11,308.36,1013.19,8430.56,0.3043456804745408,0.29975901824815404,0.0005284342550816445,0.0005284342550816445,Risk On,False,False,False,False,0.29511011259721315,9.344255178761474e-05,9.344255178761474e-05,Risk On,False,False,False,False,0.2988131695104124,-1.4893692183437501e-06,-1.4893692183437501e-06,Risk Off,False,False,False,False,0.30958718148120407,-6.75866649070822e-05,-6.75866649070822e-05,Risk Off,False,False,False,False
2014-02-12,312.57,1022.21,8510.87,0.3057786560491484,0.30040858323451947,0.0006495649863654251,0.0006495649863654251,Risk On,False,False,False,False,0.29526050505412893,0.00015039245691578218,0.00015039245691578218,Risk On,False,False,False,False,0.29882715992179987,1.3990411387443391e-05,1.3990411387443391e-05,Risk On,True,False,True,False,0.3095107356621576,-7.644581904647785e-05,-7.644581904647785e-05,Risk Off,False,False,False,False
2014-02-13,311.52,1015.4,8467.7,0.306795351585582,0.30098050717357155,0.000571923939052088,0.000571923939052088,Risk On,False,False,False,False,0.29545607164948845,0.0001955665953595198,0.0001955665953595198,Risk On,False,False,False,False,0.2988414466246112,1.4286702811339147e-05,1.4286702811339147e-05,Risk On,False,False,False,False,0.30945288750856725,-5.784815359033413e-05,-5.784815359033413e-05,Risk Off,False,False,False,False
2014-02-14,313.42,1022.57,8513.68,0.3065022443451304,0.30164705596067065,0.0006665487870990972,0.0006665487870990972,Risk On,False,False,False,False,0.295660631995363,0.0002045603458745715,0.0002045603458745715,Risk On,False,False,False,False,0.2988513489227269,9.902298115704866e-06,9.902298115704866e-06,Risk On,False,False,False,False,0.30939916144026935,-5.3726068297899054e-05,-5.3726068297899054e-05,Risk Off,False,False,False,False
2014-02-17,314.12,1019.67,8519.55,0.3080604509302029,0.30230720164251074,0.0006601456818400853,0.0006601456818400853,Risk On,False,False,False,False,0.2958636712105211,0.000203039215158074,0.000203039215158074,Risk On,False,False,False,False,0.2988700667362707,1.871781354378932e-05,1.871781354378932e-05,Risk On,False,False,False,False,0.3093499016760674,-4.9259764201947664e-05,-4.9259764201947664e-05,Risk Off,False,False,False,False
